id,痛点,人群,书籍,金句,status
1,总忍不住刷手机,上班族,《认知觉醒》,模糊是焦虑的源头，清晰是行动的开始,published
2,想搞副业但没方向,宝妈,《纳瓦尔宝典》,用专长+杠杆=财富,published
3,想要改变却无从下手,职场人,《别让微压力消耗你》,认知决定了你的上限,published
4,容易焦虑迷茫,职场人,《聪明人的个人成长》,行动是治愈焦虑的良药,published
5,总觉得生活没有方向,职场人,《5分钟高效休息法》,阅读是门槛最低的高贵,published
6,想要改变却无从下手,职场新人,《高效放松》,习惯决定命运,published
7,容易焦虑迷茫,职场新人,《惯性带你飞》,阅读是门槛最低的高贵,published
8,不知道如何提升自己,有储蓄需求的人,《时间盒》,认知决定了你的上限,published
9,不知道如何提升自己,有困惑的年轻人,《早上还什么都不想干，晚上就都做完了》,改变从当下开始,unpublished
10,想要养成好习惯,职场新人,《这就是心理学》,成长是一场与自己的对话,unpublished
11,想要提升思维能力,想要自我提升的人,《心理学与生活》,阅读是门槛最低的高贵,unpublished
12,容易焦虑迷茫,想要自我提升的人,《别相信直觉》,改变从当下开始,unpublished
13,想要改善人际关系,投资者,《怎样决定大事》,行动是治愈焦虑的良药,unpublished
14,容易焦虑迷茫,追求成长的人,《人生十年，不可辜负的20岁到30岁》,思考力是核心竞争力,unpublished
15,想要提升思维能力,追求成长的人,《中年之路》,认知决定了你的上限,unpublished
16,总觉得生活没有方向,投资者,《我们为什么而活》,成长是一场与自己的对话,unpublished
17,想要改善人际关系,宝妈,《不被定义的年龄》,阅读是门槛最低的高贵,unpublished
18,想要突破自我限制,有储蓄需求的人,《我从何来》,认知决定了你的上限,unpublished
19,想要突破自我限制,有储蓄需求的人,《自驱型成长》,阅读是门槛最低的高贵,unpublished
20,想要突破自我限制,学生党,《深度看见：艾瑞克森催眠法》,思考力是核心竞争力,unpublished
21,想要突破自我限制,想要自我提升的人,《恐惧给你的礼物》,思考力是核心竞争力,unpublished
22,想要突破自我限制,投资者,《不配得感》,思考力是核心竞争力,unpublished
23,想要养成好习惯,职场人,《男性困境》,阅读是门槛最低的高贵,unpublished
24,想要更好的沟通技巧,想要自我提升的人,《撑起TA的晴天》,阅读是门槛最低的高贵,unpublished
25,不知道如何提升自己,有困惑的年轻人,《爱的艺术》,思考力是核心竞争力,unpublished
26,想要突破自我限制,有储蓄需求的人,《非暴力沟通》,成长是一场与自己的对话,unpublished
27,想要找到人生意义,宝妈,《关键对话》,思考力是核心竞争力,unpublished
28,想要更好的沟通技巧,有储蓄需求的人,《如何让你爱的人爱上你》,成长是一场与自己的对话,unpublished
29,想要找到人生意义,学生党,《原则》,行动是治愈焦虑的良药,unpublished
30,想要摆脱负面情绪,追求成长的人,《思考，快与慢》,习惯决定命运,unpublished
31,想要摆脱负面情绪,职场新人,《终身成长》,阅读是门槛最低的高贵,unpublished
32,想要更好的沟通技巧,宝妈,《刻意练习》,阅读是门槛最低的高贵,unpublished
33,总觉得生活没有方向,追求成长的人,《异类》,成长是一场与自己的对话,unpublished
34,想要找到人生意义,职场人,《掌控习惯》,行动是治愈焦虑的良药,unpublished
35,想要摆脱负面情绪,有困惑的年轻人,《原子习惯》,成长是一场与自己的对话,unpublished
36,总觉得生活没有方向,有困惑的年轻人,《高效能人士的七个习惯》,思考力是核心竞争力,unpublished
37,想要改变却无从下手,投资者,《精要主义》,阅读是门槛最低的高贵,unpublished
38,想要改善人际关系,学生党,《断舍离》,习惯决定命运,unpublished
39,想要提升思维能力,想要自我提升的人,《微习惯》,成长是一场与自己的对话,unpublished
40,想要找到人生意义,学生党,《清单革命》,成长是一场与自己的对话,unpublished
41,容易焦虑迷茫,投资者,《自控力》,习惯决定命运,unpublished
42,想要提升思维能力,追求成长的人,《意志力》,认知决定了你的上限,unpublished
43,容易焦虑迷茫,学生党,《心智力》,成长是一场与自己的对话,unpublished
44,不知道如何提升自己,职场新人,《认知觉醒》,习惯决定命运,unpublished
45,总觉得生活没有方向,投资者,《打开心智》,成长是一场与自己的对话,unpublished
46,想要提升思维能力,有储蓄需求的人,《大脑整理术》,行动是治愈焦虑的良药,unpublished
47,想要改变却无从下手,有困惑的年轻人,《思考的技术》,成长是一场与自己的对话,unpublished
48,想要养成好习惯,职场新人,《学会提问》,改变从当下开始,unpublished
49,想要摆脱负面情绪,有困惑的年轻人,《批判性思维工具》,改变从当下开始,unpublished
50,想要摆脱负面情绪,有储蓄需求的人,《逻辑思维简易入门》,阅读是门槛最低的高贵,unpublished
51,想要更好的沟通技巧,职场新人,《金字塔原理》,改变从当下开始,unpublished
52,想要提升思维能力,投资者,《系统思考》,思考力是核心竞争力,unpublished
53,想要提升思维能力,投资者,《第五项修炼》,成长是一场与自己的对话,unpublished
54,想要突破自我限制,学生党,《跃迁》,思考力是核心竞争力,unpublished
55,想要养成好习惯,追求成长的人,《知识大迁移》,认知决定了你的上限,unpublished
56,想要提升思维能力,职场新人,《好奇心》,思考力是核心竞争力,unpublished
57,想要改变却无从下手,终身学习者,《如何阅读一本书》,思考力是核心竞争力,unpublished
58,不知道如何提升自己,有困惑的年轻人,《深阅读》,思考力是核心竞争力,unpublished
59,不知道如何提升自己,有困惑的年轻人,《快速阅读术》,成长是一场与自己的对话,unpublished
60,想要摆脱负面情绪,职场人,《过目不忘的读书法》,行动是治愈焦虑的良药,unpublished
61,想要突破自我限制,职场新人,《写作这门手艺》,成长是一场与自己的对话,unpublished
62,不知道如何提升自己,终身学习者,《故事课》,认知决定了你的上限,unpublished
63,想要更好的沟通技巧,有储蓄需求的人,《文案训练手册》,成长是一场与自己的对话,unpublished
64,想要改变却无从下手,追求成长的人,《影响力》,阅读是门槛最低的高贵,unpublished
65,想要养成好习惯,学生党,《说服》,行动是治愈焦虑的良药,unpublished
66,容易焦虑迷茫,学生党,《先发影响力》,习惯决定命运,unpublished
67,想要突破自我限制,追求成长的人,《优势谈判》,认知决定了你的上限,unpublished
68,总觉得生活没有方向,宝妈,《博弈论》,阅读是门槛最低的高贵,unpublished
69,想要学会高效阅读,学生党,《驱动力》,成长是一场与自己的对话,unpublished
70,想要更好的沟通技巧,投资者,《内在动机》,成长是一场与自己的对话,unpublished
71,想要摆脱负面情绪,宝妈,《为自己活一次》,成长是一场与自己的对话,unpublished
72,想要摆脱负面情绪,投资者,《被忽视的孩子》,行动是治愈焦虑的良药,unpublished
73,不知道如何提升自己,有困惑的年轻人,《为何家会伤人》,成长是一场与自己的对话,unpublished
74,想要突破自我限制,终身学习者,《这不是你的错》,习惯决定命运,unpublished
75,想要养成好习惯,职场新人,《身体知道答案》,思考力是核心竞争力,unpublished
76,想要摆脱负面情绪,有困惑的年轻人,《感谢自己的不完美》,阅读是门槛最低的高贵,unpublished
77,想要更好的沟通技巧,终身学习者,《抱住棒棒的自己》,习惯决定命运,unpublished
78,想要养成好习惯,投资者,《你今天真好看》,行动是治愈焦虑的良药,unpublished
79,想要找到人生意义,学生党,《一见你就好心情》,阅读是门槛最低的高贵,unpublished
80,想要提升思维能力,有储蓄需求的人,《我可以咬一口吗》,习惯决定命运,unpublished
81,不知道如何提升自己,想要自我提升的人,《我是你的小狗》,认知决定了你的上限,unpublished
82,想要找到人生意义,职场人,《阿狸的下一站》,阅读是门槛最低的高贵,unpublished
83,想要提升思维能力,终身学习者,《我的世界很小，但刚刚好》,成长是一场与自己的对话,unpublished
84,想要改善人际关系,追求成长的人,《我离开之后》,习惯决定命运,unpublished
85,想要更好的沟通技巧,宝妈,《男孩、鼹鼠、狐狸和马》,认知决定了你的上限,unpublished
86,想要提升思维能力,职场人,《你想活出怎样的人生》,习惯决定命运,unpublished
87,想要提升思维能力,终身学习者,《永恒的终结》,思考力是核心竞争力,unpublished
88,总觉得生活没有方向,想要自我提升的人,《海边小屋》,思考力是核心竞争力,unpublished
89,想要养成好习惯,有储蓄需求的人,《山之四季》,习惯决定命运,unpublished
90,想要改变却无从下手,有储蓄需求的人,《明天也是小春日和》,行动是治愈焦虑的良药,unpublished
91,想要找到人生意义,有困惑的年轻人,《此刻的温柔》,认知决定了你的上限,unpublished
92,想要摆脱负面情绪,职场人,《人间值得》,思考力是核心竞争力,unpublished
93,想要摆脱负面情绪,追求成长的人,《世间一切烦恼，都是自找的》,习惯决定命运,unpublished
94,想要实现财务自由,投资者,《富爸爸，穷爸爸》,慢慢变富才是真正的富有,unpublished
95,存不下钱,追求成长的人,《有钱人和你想的不一样》,慢慢变富才是真正的富有,unpublished
96,想要摆脱月光族,投资者,《拿铁因子》,分散投资是唯一的免费午餐,unpublished
97,存不下钱,追求成长的人,《小狗钱钱》,分散投资是唯一的免费午餐,unpublished
98,想要稳健增值,追求成长的人,《投资最重要的事》,慢慢变富才是真正的富有,unpublished
99,不懂投资理财,宝妈,《穷查理宝典》,投资是认知的变现,unpublished
100,想要避免理财陷阱,投资者,《致富心态》,投资是认知的变现,unpublished
101,想要学会价值投资,追求成长的人,《慢慢变富》,价值投资是长期主义的胜利,unpublished
102,想要学习投资策略,投资者,《周期》,理财不只是钱的事，更是心的事,unpublished
103,想要实现财务自由,有困惑的年轻人,《掌握市场周期》,投资是认知的变现,unpublished
104,不懂投资理财,学生党,《预测：经济、周期与市场泡沫》,投资是认知的变现,unpublished
105,想要了解巴菲特的投资智慧,学生党,《指数基金投资指南》,投资是认知的变现,unpublished
106,想要实现财务自由,宝妈,《我毕业五年，用ETF赚到400万》,理财不只是钱的事，更是心的事,unpublished
107,想要摆脱月光族,有困惑的年轻人,《无脑理财术，小资大翻身！》,复利是世界第八大奇迹,unpublished
108,存不下钱,职场新人,《常识的力量》,价值投资是长期主义的胜利,unpublished
109,不懂投资理财,职场人,《不当决策》,价值投资是长期主义的胜利,unpublished
110,想要实现财务自由,学生党,《灰阶思考》,价值投资是长期主义的胜利,unpublished
111,不知道怎么让钱生钱,学生党,《理性的非理性》,分散投资是唯一的免费午餐,unpublished
112,存不下钱,终身学习者,《简单致富》,时间是投资者的朋友,unpublished
113,想要实现财务自由,职场人,《无限投资》,投资是认知的变现,unpublished
114,想要了解巴菲特的投资智慧,职场人,《A大的理财金律》,投资是认知的变现,unpublished
115,想要理解经济周期,职场人,《叫卖竹竿的小贩为什么不会倒？》,理财不只是钱的事，更是心的事,unpublished
116,不知道怎么让钱生钱,有储蓄需求的人,《聪明的投资者》,投资是认知的变现,unpublished
117,想要了解巴菲特的投资智慧,宝妈,《证券分析》,价值投资是长期主义的胜利,unpublished
118,想要了解巴菲特的投资智慧,投资者,《巴菲特致股东的信》,价值投资是长期主义的胜利,unpublished
119,想要了解巴菲特的投资智慧,宝妈,《怎样选择成长股》,慢慢变富才是真正的富有,unpublished
120,想要实现财务自由,职场人,《彼得·林奇的成功投资》,分散投资是唯一的免费午餐,unpublished
121,想要理解经济周期,宝妈,《战胜华尔街》,复利是世界第八大奇迹,unpublished
122,想要了解巴菲特的投资智慧,学生党,《投资中最简单的事》,分散投资是唯一的免费午餐,unpublished
123,存不下钱,有储蓄需求的人,《投资中不简单的事》,理财不只是钱的事，更是心的事,unpublished
124,存不下钱,想要自我提升的人,《钱：7步创造终身收入》,复利是世界第八大奇迹,unpublished
125,想要稳健增值,职场新人,《财务自由之路》,理财不只是钱的事，更是心的事,unpublished
126,想要建立理财思维,有储蓄需求的人,《邻家的百万富翁》,慢慢变富才是真正的富有,unpublished
127,想要稳健增值,追求成长的人,《思考致富》,分散投资是唯一的免费午餐,unpublished
128,不懂投资理财,学生党,《百万富翁快车道》,时间是投资者的朋友,unpublished
129,想要学习投资策略,投资者,《稳健投资》,复利是世界第八大奇迹,unpublished
130,想要理解经济周期,学生党,《定投十年财务自由》,理财不只是钱的事，更是心的事,unpublished
131,想要摆脱月光族,学生党,《手把手教你读财报》,分散投资是唯一的免费午餐,unpublished
132,想要理解经济周期,追求成长的人,《财报就像一本故事书》,复利是世界第八大奇迹,unpublished
133,想要实现财务自由,有储蓄需求的人,《薛兆丰经济学讲义》,投资是认知的变现,unpublished
134,想要建立理财思维,投资者,《经济学的思维方式》,价值投资是长期主义的胜利,unpublished
135,想要学习投资策略,学生党,《小岛经济学》,分散投资是唯一的免费午餐,unpublished
136,存不下钱,职场人,《货币战争》,投资是认知的变现,unpublished
137,想要学习投资策略,有困惑的年轻人,《逃不开的经济周期》,时间是投资者的朋友,unpublished
138,想要稳健增值,投资者,《债务危机》,理财不只是钱的事，更是心的事,unpublished
139,不知道怎么让钱生钱,终身学习者,《非理性繁荣》,时间是投资者的朋友,unpublished
140,想要建立理财思维,追求成长的人,《黑天鹅》,理财不只是钱的事，更是心的事,unpublished
141,想要稳健增值,职场新人,《反脆弱》,分散投资是唯一的免费午餐,unpublished
142,不懂投资理财,职场人,《随机漫步的傻瓜》,理财不只是钱的事，更是心的事,unpublished
143,不知道怎么让钱生钱,学生党,《成功与运气》,慢慢变富才是真正的富有,unpublished
144,想要避免理财陷阱,想要自我提升的人,《牛奶可乐经济学》,理财不只是钱的事，更是心的事,unpublished
145,想要摆脱月光族,追求成长的人,《贫穷的本质》,价值投资是长期主义的胜利,unpublished
146,想要学习投资策略,追求成长的人,《稀缺：我们是如何陷入贫穷与忙碌》,价值投资是长期主义的胜利,unpublished
147,不知道怎么让钱生钱,宝妈,《错误的行为》,价值投资是长期主义的胜利,unpublished
148,不懂投资理财,终身学习者,《助推》,复利是世界第八大奇迹,unpublished
149,不懂投资理财,有困惑的年轻人,《赢家的诅咒》,分散投资是唯一的免费午餐,unpublished
150,存不下钱,宝妈,《怪诞行为学》,价值投资是长期主义的胜利,unpublished
151,想要学习投资策略,终身学习者,《巴比伦最富有的人》,复利是世界第八大奇迹,unpublished
152,不懂投资理财,宝妈,《管道的故事》,分散投资是唯一的免费午餐,unpublished
153,想要避免理财陷阱,终身学习者,《选择做富人》,理财不只是钱的事，更是心的事,unpublished
154,想要理解经济周期,投资者,《有钱人是这样赚钱的》,时间是投资者的朋友,unpublished
155,存不下钱,追求成长的人,《炒股的智慧》,时间是投资者的朋友,unpublished
156,想要学会价值投资,宝妈,《日本蜡烛图技术》,价值投资是长期主义的胜利,unpublished
157,想要了解巴菲特的投资智慧,有储蓄需求的人,《股票大作手回忆录》,理财不只是钱的事，更是心的事,unpublished
158,想要建立理财思维,有储蓄需求的人,《金融炼金术》,复利是世界第八大奇迹,unpublished
159,存不下钱,职场新人,《涛动周期论》,复利是世界第八大奇迹,unpublished
160,不懂投资理财,追求成长的人,《穿越迷雾》,时间是投资者的朋友,unpublished
161,不知道怎么让钱生钱,职场人,《价值》,理财不只是钱的事，更是心的事,unpublished
162,想要实现财务自由,终身学习者,《投资至简》,价值投资是长期主义的胜利,unpublished
163,存不下钱,职场新人,《一个投资家的20年》,分散投资是唯一的免费午餐,unpublished
164,想要实现财务自由,有困惑的年轻人,《您厉害，您赚得多》,理财不只是钱的事，更是心的事,unpublished
165,存不下钱,投资者,《投资要义》,分散投资是唯一的免费午餐,unpublished
166,想要避免理财陷阱,学生党,《逆向投资》,投资是认知的变现,unpublished
167,想要学习投资策略,投资者,《戴维斯王朝》,投资是认知的变现,unpublished
168,想要避免理财陷阱,职场人,《机构投资的创新之路》,价值投资是长期主义的胜利,unpublished
169,想要理解经济周期,宝妈,《共同基金常识》,理财不只是钱的事，更是心的事,unpublished
170,想要学习投资策略,有储蓄需求的人,《漫步华尔街》,复利是世界第八大奇迹,unpublished
171,想要理解经济周期,有困惑的年轻人,《有效资产管理》,价值投资是长期主义的胜利,unpublished
172,想要了解巴菲特的投资智慧,有困惑的年轻人,《资产配置的艺术》,复利是世界第八大奇迹,unpublished
173,想要学习投资策略,想要自我提升的人,《债券投资策略》,复利是世界第八大奇迹,unpublished
174,不知道怎么让钱生钱,宝妈,《对冲基金奇才》,投资是认知的变现,unpublished
175,想要稳健增值,投资者,《华尔街之狼》,投资是认知的变现,unpublished
176,想要避免理财陷阱,终身学习者,《大空头》,慢慢变富才是真正的富有,unpublished
177,想要理解经济周期,宝妈,《说谎者的扑克牌》,理财不只是钱的事，更是心的事,unpublished
178,想要学习投资策略,职场新人,《门口的野蛮人》,投资是认知的变现,unpublished
179,想要建立理财思维,职场新人,《伟大的博弈》,分散投资是唯一的免费午餐,unpublished
180,想要摆脱月光族,终身学习者,《中国式价值投资》,理财不只是钱的事，更是心的事,unpublished
181,想要理解经济周期,宝妈,《投资中国》,价值投资是长期主义的胜利,unpublished
182,想要实现财务自由,宝妈,《十年一梦》,投资是认知的变现,unpublished
183,想要稳健增值,有储蓄需求的人,《私募的进化》,投资是认知的变现,unpublished
184,想要学会价值投资,投资者,《更富有、更睿智、更快乐》,慢慢变富才是真正的富有,unpublished
185,想要了解巴菲特的投资智慧,想要自我提升的人,《像巴菲特一样交易》,投资是认知的变现,unpublished
186,想要避免理财陷阱,学生党,《查理·芒格的原则》,分散投资是唯一的免费午餐,unpublished
187,想要了解巴菲特的投资智慧,投资者,《巴菲特之道》,复利是世界第八大奇迹,unpublished
188,不知道怎么让钱生钱,学生党,《巴菲特的投资组合》,慢慢变富才是真正的富有,unpublished
189,不懂投资理财,有困惑的年轻人,《巴菲特传》,分散投资是唯一的免费午餐,unpublished
190,想要了解巴菲特的投资智慧,有储蓄需求的人,《滚雪球》,复利是世界第八大奇迹,unpublished
191,不懂投资理财,学生党,《段永平投资问答录》,分散投资是唯一的免费午餐,unpublished
192,想要学习投资策略,职场新人,《李录：文明、现代化、价值投资与中国》,分散投资是唯一的免费午餐,unpublished
